"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         186,      -3.533931245,      -2.793527551,      -3.104403984,      -7.902354413
          0,           0,         187,      -3.538723784,      -2.791171411,      -3.108014821,      -7.906486448
          0,           0,         188,      -3.544460256,      -2.787596866,      -3.110679339,      -7.910829065
          0,           0,         189,      -3.551001446,      -2.783096809,      -3.112575672,      -7.915300756
          0,           0,         190,      -3.558278073,      -2.777885821,      -3.113794186,      -7.919845544
          0,           0,         191,      -3.566158136,      -2.772298358,      -3.114465885,       -7.92430857
          0,           0,         192,      -3.574551077,       -2.76657746,      -3.114671787,      -7.928599804
          0,           0,         193,      -3.583418487,      -2.760976589,      -3.114571422,      -7.932630315
          0,           0,         194,      -3.592551019,      -2.755668828,       -3.11424717,      -7.936271747
          0,           0,         195,      -3.601643943,      -2.750879867,      -3.113670212,      -7.939505358
          0,           0,         196,      -3.610660462,      -2.746709559,      -3.112791533,      -7.942217619
          0,           0,         197,      -3.619363221,      -2.743201363,      -3.111729546,      -7.944298534
          0,           0,         198,      -3.627690628,      -2.740453266,      -3.110424665,      -7.945704306
          0,           0,         199,      -3.635415367,      -2.738450278,      -3.109023588,      -7.946415203
          0,           0,         200,      -3.642413155,      -2.737175229,      -3.107602765,       -7.94641887
          0,           0,         201,      -3.648662817,      -2.736581301,      -3.106097183,      -7.945707634
          0,           0,         202,      -3.654261048,      -2.736643773,       -3.10427056,      -7.944296689
          0,           0,         203,      -3.659211361,      -2.737312824,      -3.102245588,      -7.942166878
          0,           0,         204,      -3.663515111,      -2.738523012,      -3.100001473,      -7.939370179
          0,           0,         205,      -3.667056673,      -2.740286594,      -3.097582363,      -7.936000002
          0,           0,         206,      -3.670016854,      -2.742483102,      -3.094950385,      -7.932100073
          0,           0,         207,      -3.672486013,      -2.745001498,      -3.092115876,      -7.927713167
          0,           0,         208,      -3.674560478,       -2.74777166,      -3.089010015,      -7.922943775
          0,           0,         209,      -3.676379575,       -2.75073555,      -3.085736459,      -7.917865541
          0,           0,         210,      -3.678084652,      -2.753788337,       -3.08223384,      -7.912534223
          0,           0,         211,      -3.679573254,      -2.756903571,      -3.078528461,      -7.906969088
          0,           0,         212,      -3.680723552,      -2.759933171,      -3.074673191,      -7.901201027
          0,           0,         213,      -3.681449323,      -2.763166147,      -3.070739633,      -7.895242682
          0,           0,         214,        -3.6818422,      -2.766113527,      -3.066690529,       -7.88909003
          0,           0,         215,      -3.680965393,       -2.76868283,      -3.062494833,      -7.882784395
          0,           0,         216,      -3.679921544,       -2.77316943,      -3.058874967,      -7.876350671
          0,           0,         217,      -3.677691008,      -2.776279878,      -3.055359447,      -7.869821523
          0,           0,         218,      -3.675194713,       -2.77905374,      -3.051824284,      -7.863123811
          0,           0,         219,      -3.665542584,      -2.787183765,      -3.048625732,      -7.855679009
          0,           0,         220,      -3.658592585,      -2.790458916,      -3.045414053,      -7.848596364
          0,           0,         221,      -3.652102747,      -2.795456435,      -3.042754372,      -7.841630597
          0,           0,         222,      -3.646237581,      -2.798558672,      -3.041419219,      -7.834746544
          0,           0,         223,      -3.638321849,      -2.802881229,      -3.040157361,      -7.827936272
          0,           0,         224,      -3.629057666,      -2.806228252,      -3.038548519,      -7.821276667
          0,           0,         225,      -3.618365371,      -2.811806152,      -3.036962964,      -7.814686487
          0,           0,         226,      -3.606520346,      -2.817323552,      -3.035493969,      -7.808266959
          0,           0,         227,      -3.594194454,      -2.823797038,       -3.03445898,      -7.802031486
          0,           0,         228,      -3.581416202,       -2.83089322,      -3.033842601,      -7.796059001
          0,           0,         229,      -3.568400498,       -2.83921471,      -3.033692829,      -7.790453498
          0,           0,         230,      -3.555599962,      -2.847678704,      -3.034070848,      -7.785126718
          0,           0,         231,      -3.542974117,      -2.856701413,      -3.034953621,      -7.780252935
          0,           0,         232,      -3.530646488,      -2.866125734,       -3.03635446,      -7.775846421
          0,           0,         233,      -3.518697519,      -2.875857145,       -3.03828307,      -7.771886687
          0,           0,         234,      -3.507158541,      -2.885772282,      -3.040744079,      -7.768385749
          0,           0,         235,      -3.496122635,      -2.895734709,      -3.043744545,      -7.765393747
          0,           0,         236,      -3.485660009,      -2.905633097,      -3.047264277,      -7.762835032
          0,           0,         237,      -3.475621985,       -2.91532852,      -3.051312589,      -7.760672448
          0,           0,         238,      -3.466076703,      -2.924735204,      -3.055837913,      -7.758942954
